1522640842.692930000	0	74	1
1522640842.710930000	0.0180001	1294	1
1522640842.711211000	0.018281	1294	1
1522640842.711214000	0.0182841	198	1
1522640842.711237000	0.018307	74	0
1522640842.940944000	0.248014	316	0
1522640842.962279000	0.269349	159	0
1522640842.962706000	0.269776	476	0
1522640843.000541000	0.307611	344	1
1522640843.021470000	0.32854	135	1
1522640843.021472000	0.328542	104	1
1522640843.021503000	0.328573	74	0
1522640843.021790000	0.32886	104	0
1522640843.072380000	0.37945	74	1
1522640843.080109000	0.387179	74	1
1522640843.108907000	0.415977	652	1
1522640843.109079000	0.416149	1294	1
1522640843.109114000	0.416184	74	0
1522640843.109217000	0.416287	1294	1
1522640843.109371000	0.416441	1294	1
1522640843.109382000	0.416452	74	0
1522640843.109443000	0.416513	1294	1
1522640843.109629000	0.416699	1294	1
1522640843.109640000	0.41671	74	0
1522640843.109717000	0.416787	1294	1
1522640843.109999000	0.417069	1294	1
1522640843.110012000	0.417082	74	0
1522640843.110123000	0.417193	700	1
1522640843.111971000	0.419041	1294	1
1522640843.111992000	0.419062	74	0
1522640843.112239000	0.419309	1294	1
1522640843.112241000	0.419311	1294	1
1522640843.112255000	0.419325	74	0
1522640843.112532000	0.419602	1294	1
1522640843.112599000	0.419669	1294	1
1522640843.112610000	0.41968	74	0
1522640843.112813000	0.419883	1294	1
1522640843.113151000	0.420221	1294	1
1522640843.113163000	0.420233	74	0
1522640843.167241000	0.474311	1294	1
1522640843.167543000	0.474613	1294	1
1522640843.167569000	0.474639	74	0
1522640843.167813000	0.474883	1294	1
1522640843.168071000	0.475141	1294	1
1522640843.168088000	0.475158	74	0
1522640843.169628000	0.476698	1294	1
1522640843.169891000	0.476961	1294	1
1522640843.169906000	0.476976	74	0
1522640843.169974000	0.477044	1294	1
1522640843.170138000	0.477208	1294	1
1522640843.170152000	0.477222	74	0
1522640843.170219000	0.477289	1294	1
1522640843.170293000	0.477363	1294	1
1522640843.170303000	0.477373	74	0
1522640843.170400000	0.47747	1294	1
1522640843.170470000	0.47754	1294	1
1522640843.170472000	0.477542	1294	1
1522640843.170495000	0.477565	74	0
1522640843.170697000	0.477767	1294	1
1522640843.170765000	0.477835	1294	1
1522640843.170775000	0.477845	74	0
1522640843.170833000	0.477903	1294	1
1522640843.173146000	0.480216	1294	1
1522640843.173169000	0.480239	74	0
1522640843.173440000	0.48051	1294	1
1522640843.173710000	0.48078	1294	1
1522640843.173724000	0.480794	74	0
1522640843.173987000	0.481057	1294	1
1522640843.177184000	0.484254	1294	1
1522640843.177201000	0.484271	74	0
1522640843.177475000	0.484545	1294	1
1522640843.181562000	0.488632	1294	1
1522640843.181591000	0.488661	74	0
1522640843.181838000	0.488908	1294	1
1522640843.182129000	0.489199	1294	1
1522640843.182144000	0.489214	74	0
1522640843.182406000	0.489476	1294	1
1522640843.185574000	0.492644	1294	1
1522640843.185602000	0.492672	74	0
1522640843.185828000	0.492898	1294	1
1522640843.186105000	0.493175	1294	1
1522640843.186119000	0.493189	74	0
1522640843.189685000	0.496755	1294	1
1522640843.189970000	0.49704	1294	1
1522640843.189990000	0.49706	74	0
1522640843.190249000	0.497319	1294	1
1522640843.226777000	0.533847	1294	1
1522640843.226836000	0.533906	74	0
1522640843.227037000	0.534107	1294	1
1522640843.227331000	0.534401	1294	1
1522640843.227344000	0.534414	74	0
1522640843.227623000	0.534693	1294	1
1522640843.228337000	0.535407	1294	1
1522640843.228355000	0.535425	74	0
1522640843.228609000	0.535679	1294	1
1522640843.232182000	0.539252	1294	1
1522640843.232222000	0.539292	74	0
1522640843.232459000	0.539529	1294	1
1522640843.232584000	0.539654	774	1
1522640843.232597000	0.539667	74	0
1522640843.233394000	0.540464	112	0
1522640843.252056000	0.559126	329	0
1522640843.252224000	0.559294	169	0
1522640843.310307000	0.617377	74	1
1522640843.330802000	0.637872	252	1
1522640843.331129000	0.638199	1294	1
1522640843.331150000	0.63822	74	0
1522640843.331352000	0.638422	1294	1
1522640843.331418000	0.638488	1294	1
1522640843.331435000	0.638505	74	0
1522640843.331565000	0.638635	1294	1
1522640843.331568000	0.638638	425	1
1522640843.331570000	0.63864	112	1
1522640843.331571000	0.638641	147	1
1522640843.331585000	0.638655	74	0
1522640843.331696000	0.638766	1294	1
1522640843.331802000	0.638872	1294	1
